,Period,Correlation,Ticker1,Ticker2,20d_Volume1,20d_Volume2,close_SD1,close_SD2,Sector1_basic-materials,Sector1_communication-services,Sector1_consumer-cyclical,Sector1_consumer-defensive,Sector1_energy,Sector1_financial-services,Sector1_healthcare,Sector1_industrials,Sector1_real-estate,Sector1_technology,Sector1_utilities,Sector2_basic-materials,Sector2_communication-services,Sector2_consumer-cyclical,Sector2_consumer-defensive,Sector2_energy,Sector2_financial-services,Sector2_healthcare,Sector2_industrials,Sector2_real-estate,Sector2_technology,Sector2_utilities
20,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.7702453774212551,AKAM,ALB,1773490.0,3137315.0,1.0983202182111034,10.57148415946293,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
21,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.6674878696618674,ALB,ALGN,3137315.0,937725.0,10.57148415946293,8.990425164261206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.04251034227981328,ALGN,ALK,937725.0,1707975.0,8.990425164261206,0.49378689420509353,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.4726874794385828,ALK,ALL,1707975.0,1481810.0,0.49378689420509353,2.467568823683314,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.6544059483959919,ALL,ALLE,1481810.0,677550.0,2.467568823683314,1.8262537749193626,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.5749557917152884,ALLE,AMAT,677550.0,5815230.0,1.8262537749193626,10.114372990495218,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.7239434570420807,AMAT,AMD,5815230.0,51820435.0,10.114372990495218,3.577294567255699,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
27,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.250053785511358,AMD,AME,51820435.0,1268500.0,3.577294567255699,2.3729087343121402,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.3249235234971266,AME,AMG,1268500.0,334015.0,2.3729087343121402,3.5858477592458815,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.44521868188029173,AMG,AMGN,334015.0,2592220.0,3.5858477592458815,5.862555446754462,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.6574867365014777,AMGN,AMP,2592220.0,437820.0,5.862555446754462,5.970217884197414,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.18225453784621043,AMP,AMT,437820.0,2504025.0,5.970217884197414,3.247212819854615,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.1699574693358905,AMT,AMZN,2504025.0,39049625.0,3.247212819854615,3.9062632824322514,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
33,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.5089782635918645,AMZN,ANSS,39049625.0,550925.0,3.9062632824322514,3.3457064324788934,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.563114383656744,ANSS,AON,550925.0,1867130.0,3.3457064324788934,7.344223157823085,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
35,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.7091613822374385,AON,AOS,1867130.0,859955.0,7.344223157823085,1.1600407211078407,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.3107535713377408,AOS,APA,859955.0,6406135.0,1.1600407211078407,0.6783399872076267,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
